id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13919111,25996335,1,1.3137299999999998,103.85246,0,119,1,1,1053.0,0.03,9,263
13924029,6954638,2,1.29461,103.76890999999999,2,19,5,3,542.0,0.08,9,354
13926988,82725172,1,1.27291,103.8338,0,87,2,17,211.0,0.53,9,360
13929091,6954638,2,1.29396,103.76872,2,19,5,6,79.0,0.17,9,352
13929139,82760488,1,1.27873,103.7874,0,40,2,0,1887.0,,1,0
13930152,82768938,2,1.35205,103.75721,0,68,188,0,1887.0,,1,83
13930952,5486015,2,1.34335,103.71736999999999,0,50,1,0,1887.0,,1,0
13931737,82725172,1,1.27474,103.83582,0,89,2,18,31.0,0.48,9,362
13934542,13527492,1,1.31345,103.84354,0,100,2,5,1074.0,0.13,1,0
13936031,23722617,1,1.31364,103.88595,1,181,10,4,91.0,0.21,84,74
13943612,22551272,1,1.28003,103.85216,1,158,4,13,44.0,0.35,1,3
13947413,79995388,1,1.32459,103.87093,1,69,3,0,1887.0,,1,0
13950769,18330396,4,1.3484200000000002,103.87213,0,69,90,2,779.0,0.06,1,178
13952292,24496358,3,1.32833,103.91486,0,140,28,3,400.0,0.15,24,179
13965663,46515276,1,1.31045,103.87406,0,100,2,10,37.0,0.27,11,361
13966783,2413412,1,1.2849700000000002,103.84204,0,50,90,1,1134.0,0.03,112,289
13967223,44467429,2,1.37855,103.76041,0,44,4,40,103.0,2.33,1,331
13967760,68059127,3,1.32342,103.9161,0,178,3,0,1887.0,,21,333
13969951,36092554,1,1.32813,103.86525999999999,1,100,2,0,1887.0,,1,0
13980339,5402869,1,1.30995,103.86791,0,100,2,0,1887.0,,1,0
13982434,60304127,5,1.42969,103.79155,0,40,2,14,879.0,0.37,2,0
13986033,22784349,2,1.2932,103.76834000000001,0,69,1,1,1120.0,0.03,1,0
13986824,1882247,1,1.28515,103.84144,0,26,29,2,1001.0,0.06,1,0
13998008,51781892,1,1.28157,103.8274,0,46,1,30,749.0,0.81,1,0
14002684,7538974,1,1.3019100000000001,103.84836999999999,1,250,3,3,1098.0,0.08,1,0
14009803,6954638,2,1.295,103.76895,2,19,5,4,508.0,0.14,9,355
14015866,83828949,3,1.33697,103.93125,1,260,2,0,1887.0,,1,0
14020127,83878917,3,1.3181,103.91159,1,181,90,18,602.0,0.48,1,0
14029416,2413412,1,1.31024,103.86286,0,36,28,1,1088.0,0.03,112,362
14030430,31855113,1,1.31833,103.83084000000001,1,140,1,0,1887.0,,1,0
14071413,9653330,1,1.31123,103.87814,1,299,1,83,29.0,2.24,3,330
14078478,14861027,1,1.27444,103.83659,1,129,3,2,1106.0,0.05,1,0
14078493,33189209,1,1.31596,103.88824,1,199,2,60,14.0,1.64,23,30
14081402,3312888,1,1.29009,103.84166,0,65,7,4,29.0,0.11,1,34
14082015,42288055,1,1.3022,103.86236,1,190,4,8,543.0,0.22,1,0
14094341,84635959,1,1.31887,103.82812,1,203,6,1,643.0,0.05,1,362
14099732,84863690,3,1.3260100000000001,103.95378000000001,0,60,90,3,774.0,0.08,1,358
14111918,2413412,1,1.28378,103.84311,0,40,90,2,91.0,0.06,112,354
14128000,52008666,1,1.31264,103.88528000000001,0,49,1,0,1887.0,,2,0
14131949,77077626,4,1.36565,103.86348000000001,0,131,2,13,32.0,0.55,3,365
14134745,85287197,1,1.31833,103.8424,1,250,2,84,29.0,2.23,1,31
14142246,4671947,1,1.29617,103.82621999999999,0,60,5,0,1887.0,,1,361
14149621,39062615,1,1.32815,103.90387,2,42,1,0,1887.0,,1,0
14157765,27888612,2,1.38351,103.74021,0,25,183,0,1887.0,,1,365
14158971,24496358,3,1.32417,103.91461,0,131,7,0,1887.0,,24,342
14161622,48754014,1,1.2785799999999998,103.84891,1,219,3,70,10.0,2.12,2,22
14170922,32410168,1,1.2763200000000001,103.83440999999999,0,51,2,166,19.0,4.45,1,117
14172084,82725172,1,1.27464,103.83395,0,99,2,12,13.0,0.34,9,357
14176577,61315957,1,1.29647,103.84406,0,60,1,9,819.0,0.25,1,0
14185422,28809566,5,1.442,103.82203,0,53,6,1,599.0,0.05,7,364
14191824,86048572,2,1.3200399999999999,103.76335,0,19,15,0,1887.0,,1,0
14191894,28489587,1,1.31758,103.84761,0,89,1,30,6.0,0.84,3,350
14196558,68024306,2,1.35192,103.74793000000001,0,49,1,2,1094.0,0.05,1,0
14196766,31464513,1,1.3232899999999999,103.85197,1,237,4,2,139.0,0.1,114,260
14211423,31557595,3,1.3598700000000001,103.96299,0,90,90,2,950.0,0.05,2,89
14222817,2365469,1,1.27991,103.78650999999999,0,99,5,8,934.0,0.21,1,0
14223124,29032695,1,1.31338,103.88472,1,140,29,62,631.0,1.68,5,59
14240615,8948251,1,1.30759,103.86216999999999,0,37,18,5,261.0,0.13,83,362
14243662,17916952,4,1.36948,103.89242,0,86,10,0,1887.0,,2,86
14245740,22875236,4,1.39145,103.9126,1,149,2,110,20.0,3.28,1,269
14248210,23722617,1,1.2831299999999999,103.84376,1,115,5,24,16.0,0.65,84,62
14255235,28382771,1,1.3128,103.8832,1,160,365,2,1051.0,0.05,6,180
14289091,87219452,3,1.37602,103.96047,1,100,2,5,332.0,0.14,1,239
14293858,11390076,1,1.29756,103.85037,0,60,5,5,170.0,0.14,18,364
14305256,87411537,1,1.28358,103.84376,0,150,1,11,717.0,0.3,7,360
14324619,63355544,4,1.39497,103.91332,0,40,90,0,1887.0,,1,365
14325761,85261220,1,1.3131899999999999,103.79247,1,131,2,19,394.0,0.53,1,0
14332372,63321758,5,1.42909,103.76864,0,49,1,101,16.0,2.75,4,340
14332483,87731750,1,1.31607,103.86023,2,22,1,33,10.0,0.89,8,191
14350567,34623849,1,1.2976299999999998,103.8746,1,278,90,0,1887.0,,2,363
14376831,22103887,1,1.3159,103.84241,1,250,4,35,14.0,1.04,3,283
14377235,29032695,1,1.3131,103.88513,0,131,29,47,422.0,1.27,5,85
14378115,29032695,1,1.31141,103.88351999999999,1,125,29,46,25.0,1.27,5,81
14380449,88281045,1,1.31112,103.79757,0,75,2,8,203.0,0.22,1,0
14381353,87411537,1,1.2835299999999998,103.8458,2,37,1,37,16.0,1.0,7,361
14387136,17404486,1,1.30996,103.90159,1,183,2,76,6.0,2.06,9,135
14390525,28004549,1,1.31229,103.87581999999999,1,176,2,144,15.0,3.93,6,172
14397294,29032695,1,1.31253,103.8849,1,119,29,76,60.0,2.13,5,34
14404610,33531356,1,1.31408,103.84875,1,85,183,7,904.0,0.19,1,90
14407337,2413412,1,1.28305,103.84363,0,40,90,1,716.0,0.04,112,365
14417793,8492007,1,1.32556,103.85404,1,150,7,12,119.0,0.34,203,364
14432097,87411537,1,1.28385,103.84525,2,37,1,7,229.0,0.19,7,360
14433463,37538001,1,1.28203,103.84026,1,83,30,0,1887.0,,1,0
14435012,25185912,1,1.3113700000000001,103.79738,0,65,4,4,9.0,0.16,14,286
14446487,25996335,1,1.31427,103.85273000000001,0,110,1,25,13.0,1.06,9,306
14456725,5855801,3,1.32064,103.91455,0,169,1,0,1887.0,,1,363
14489603,87731750,1,1.31446,103.8585,2,19,1,60,113.0,1.63,8,210
14491116,24242280,4,1.38106,103.8615,0,81,1,0,1887.0,,1,179
14496725,87411537,1,1.28359,103.84591,2,31,1,31,37.0,0.84,7,359
14496852,87411537,1,1.28504,103.84371,2,31,1,35,44.0,0.95,7,359
